SIT:<name>;MET:<name>;CHN:<channelID>;CHN:<TspDataType>;CHN:<unit>
RCS1;NMR Panel in 011;sk-che-101-sip2.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
Dyson SoE;Observatory Building;SK-DBDE-B-SIP2.ad.ic.ac.uk_Device_64;Energy Consumption;kWh
Data Centre;PDU 7 Switch J3;sk-mec-104-sip2.ad.ic.ac.uk_Device_7;Energy Consumption;kWh
Data Centre;Spare- UPS1/G3;sk-mec-104-sip2.ad.ic.ac.uk_Device_19;Energy Consumption;kWh
Sir Ernst Chain (Biochemistry);Queens Tower Basement;sk-bio-101-sip2.ad.ic.ac.uk_Device_18;Energy Consumption;kWh
RCS1;RCS1 NMR Feeder;sk-rcs-101-sip1.ad.ic.ac.uk_Device_3;Energy Consumption;kWh
Sherfield;S8/5 Interconnector to CHPS19/1;sk-she-101-sip1.ad.ic.ac.uk_Device_4;Energy Consumption;kWh
Data Centre;SKMENG05EMTR042 - C2;sk-mec-104-sip1.ad.ic.ac.uk_Device_11;Energy Consumption;kWh
Data Centre;SKMENG05EMTR044 - D2;sk-mec-104-sip1.ad.ic.ac.uk_Device_13;Energy Consumption;kWh
Data Centre;Spare - Switch C3;sk-mec-104-sip1.ad.ic.ac.uk_Device_12;Energy Consumption;kWh
Bone and Roderic Hill;South Annex Riser DBSA/1 Bone Corridor;sk-ace-102-sip1.ad.ic.ac.uk_Device_4;Energy Consumption;kWh
8-15 Princes Gardens (inc Garden Hall);Spare;sk-nor-101-sip1.ad.ic.ac.uk_Device_9;Energy Consumption;kWh
Data Centre;Spare - Switch A2;sk-mec-104-sip1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
Data Centre;Spare - Switch A4;sk-mec-104-sip1.ad.ic.ac.uk_Device_4;Energy Consumption;kWh
Data Centre;Spare - Switch A6;sk-mec-104-sip1.ad.ic.ac.uk_Device_6;Energy Consumption;kWh
Data Centre;Spare - Switch B4;sk-mec-104-sip1.ad.ic.ac.uk_Device_9;Energy Consumption;kWh
Data Centre;Spare - Switch B6;sk-mec-104-sip1.ad.ic.ac.uk_Device_10;Energy Consumption;kWh
Data Centre;Spare A1;sk-mec-104-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Data Centre;Spare B3;sk-mec-104-sip1.ad.ic.ac.uk_Device_8;Energy Consumption;kWh
Data Centre;Temp Chiller Connection Box - D3;sk-mec-104-sip1.ad.ic.ac.uk_Device_14;Energy Consumption;kWh
Data Centre;Spare J2;sk-mec-104-sip2.ad.ic.ac.uk_Device_4;Energy Consumption;kWh
Data Centre;PDU 3 Switch K3;sk-mec-104-sip2.ad.ic.ac.uk_Device_5;Energy Consumption;kWh
Data Centre;UPS U2 Switchboard L1;sk-mec-104-sip2.ad.ic.ac.uk_Device_8;Energy Consumption;kWh
Data Centre;Spare L2;sk-mec-104-sip2.ad.ic.ac.uk_Device_9;Energy Consumption;kWh
Data Centre;UPS No3 Switchboard L3;sk-mec-104-sip2.ad.ic.ac.uk_Device_10;Energy Consumption;kWh
Data Centre;Spare L4;sk-mec-104-sip2.ad.ic.ac.uk_Device_11;Energy Consumption;kWh
Data Centre;DB B/2 CRAC Unit L6;sk-mec-104-sip2.ad.ic.ac.uk_Device_13;Energy Consumption;kWh
Data Centre;F-Air MCCP1 Switch M1;sk-mec-104-sip2.ad.ic.ac.uk_Device_14;Energy Consumption;kWh
Data Centre;Spare M3;sk-mec-104-sip2.ad.ic.ac.uk_Device_16;Energy Consumption;kWh
Data Centre;CO2 Plant 2 M4;sk-mec-104-sip2.ad.ic.ac.uk_Device_17;Energy Consumption;kWh
Data Centre;CO2 Plant 1 M6;sk-mec-104-sip2.ad.ic.ac.uk_Device_18;Energy Consumption;kWh
Data Centre;PDU 5- UPS1/H3;sk-mec-104-sip2.ad.ic.ac.uk_Device_20;Energy Consumption;kWh
Data Centre;PDU 8- UPS1/J2;sk-mec-104-sip2.ad.ic.ac.uk_Device_21;Energy Consumption;kWh
Ethos Sports Centre;Sports Hall ACB32;sk-nor-101-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Ethos Sports Centre Residences;Sports Hall Residential D3;sk-nor-101-sip1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
Eastside Hall;Supply from Southside;sk-est-101-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Chemistry 1 and 2;Transformer Spare ACB156;sk-che-101-sip2.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Bone and Roderic Hill;Transformer T11;sk-ace-102-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Library;Transformer T12;sk-lib-102-sip3.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Bessemer;Transformer T15;sk-bes-102-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Bessemer;Transformer T16;sk-bes-102-sip1.ad.ic.ac.uk_Device_31;Energy Consumption;kWh
City and Guilds;Transformer T22;sk-mec-102-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
City and Guilds;Transformer T23;sk-mec-102-sip2.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
City and Guilds;Transformer T24;sk-mec-102-sip1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
Weeks Hall;Transformer T25;sk-nor-101-sip1.ad.ic.ac.uk_Device_3;Energy Consumption;kWh
Sir Ernst Chain (Biochemistry);Transformer T27;sk-bio-101-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Sir Ernst Chain (Biochemistry);Transformer T28;sk-bio-101-sip2.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
ACE;Transformer T29;sk-ace-102-sip2.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
ACE;Transformer T30;sk-ace-102-sip3.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Sherfield;Transformer T31;sk-she-101-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Sherfield;Transformer T32;sk-she-101-sip1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
Huxley;Transformer T33;sk-hux-101-sip2.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Bone and Roderic Hill;Transformer T34;sk-ace-102-sip1.ad.ic.ac.uk_Device_5;Energy Consumption;kWh
Bessemer;Transformer T35;sk-bes-102-sip1.ad.ic.ac.uk_Device_16;Energy Consumption;kWh
Chemistry 1 and 2;Transformer T37;sk-che-101-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Chemistry 1 and 2;Transformer T38;sk-che-101-sip1.ad.ic.ac.uk_Device_7;Energy Consumption;kWh
Weeks Hall;Transformer T39;sk-nor-101-sip1.ad.ic.ac.uk_Device_4;Energy Consumption;kWh
SAF;Transformer T41;sk-saf-101-sip2.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
SAF;Transformer T42;sk-saf-101-sip2.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
Data Centre;Transformer T43;sk-mec-104-sip1.ad.ic.ac.uk_Device_17;Energy Consumption;kWh
Data Centre;Transformer T44;sk-mec-104-sip2.ad.ic.ac.uk_device_3;Energy Consumption;kWh
Southside Hall;Transformer T45;sk-sou-101-sip2.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
RCS1;Transformer T46;sk-rcs-101-sip1.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
RCS1;Transformer T47;sk-rcs-101-sip1.ad.ic.ac.uk_Device_2;Energy Consumption;kWh
